village_band,year,domain,median_rank
<1km,2016,Income_Domain_Rank,98.0
1–3km,2016,Income_Domain_Rank,757.0
3–5km,2016,Income_Domain_Rank,1717.5
5–8km,2016,Income_Domain_Rank,1691.0
>8km,2016,Income_Domain_Rank,1278.5
<1km,2016,Employment_Domain_Rank,101.0
1–3km,2016,Employment_Domain_Rank,826.0
3–5km,2016,Employment_Domain_Rank,2034.0
5–8km,2016,Employment_Domain_Rank,2105.0
>8km,2016,Employment_Domain_Rank,1490.0
<1km,2016,Education_Domain_Rank,279.0
1–3km,2016,Education_Domain_Rank,969.0
3–5km,2016,Education_Domain_Rank,1953.0
5–8km,2016,Education_Domain_Rank,2296.0
>8km,2016,Education_Domain_Rank,1702.5
<1km,2016,Health_Domain_Rank,70.0
1–3km,2016,Health_Domain_Rank,542.0
3–5km,2016,Health_Domain_Rank,2000.0
5–8km,2016,Health_Domain_Rank,1909.5
>8km,2016,Health_Domain_Rank,1377.5
<1km,2016,Crime_Domain_Rank,1288.0
1–3km,2016,Crime_Domain_Rank,1262.0
3–5km,2016,Crime_Domain_Rank,1680.0
5–8km,2016,Crime_Domain_Rank,2102.5
>8km,2016,Crime_Domain_Rank,2337.0
<1km,2016,Housing_Domain_Rank,402.0
1–3km,2016,Housing_Domain_Rank,418.0
3–5km,2016,Housing_Domain_Rank,692.5
5–8km,2016,Housing_Domain_Rank,763.0
>8km,2016,Housing_Domain_Rank,1190.0
<1km,2020,Income_Domain_Rank,326.0
1–3km,2020,Income_Domain_Rank,747.0
3–5km,2020,Income_Domain_Rank,2100.5
5–8km,2020,Income_Domain_Rank,1818.0
>8km,2020,Income_Domain_Rank,1430.5
<1km,2020,Employment_Domain_Rank,547.0
1–3km,2020,Employment_Domain_Rank,1077.0
3–5km,2020,Employment_Domain_Rank,2377.0
5–8km,2020,Employment_Domain_Rank,2374.5
>8km,2020,Employment_Domain_Rank,1630.25
<1km,2020,Education_Domain_Rank,345.0
1–3km,2020,Education_Domain_Rank,1245.0
3–5km,2020,Education_Domain_Rank,2031.0
5–8km,2020,Education_Domain_Rank,2647.5
>8km,2020,Education_Domain_Rank,2028.5
<1km,2020,Health_Domain_Rank,368.0
1–3km,2020,Health_Domain_Rank,719.0
3–5km,2020,Health_Domain_Rank,2255.5
5–8km,2020,Health_Domain_Rank,2135.5
>8km,2020,Health_Domain_Rank,1426.5
<1km,2020,Crime_Domain_Rank,919.0
1–3km,2020,Crime_Domain_Rank,1284.0
3–5km,2020,Crime_Domain_Rank,1895.0
5–8km,2020,Crime_Domain_Rank,2164.0
>8km,2020,Crime_Domain_Rank,2478.5
<1km,2020,Housing_Domain_Rank,402.0
1–3km,2020,Housing_Domain_Rank,418.0
3–5km,2020,Housing_Domain_Rank,692.5
5–8km,2020,Housing_Domain_Rank,763.25
>8km,2020,Housing_Domain_Rank,1190.0
