region_n,region_s,region,country,obs,p_min,p_max,p_mean,p_med,p_sd
1,Catalogue collections,Catalogue,,306968,.12,1999,41.329037,22,80.908554
2,London,London,England,4475848,.0099999998,20000,56.248341,4.5999999,246.0103
3,South East,South East,England,5785278,.0099999998,9499,54.609386,4.9000001,220.2513
4,South West,South West,England,3597289,.0099999998,6950,50.904106,4.5,201.63634
5,East Anglia,East Anglia,England,3204009,.0099999998,7650,51.067471,4.6900001,197.14328
6,East Midlands,East Midlands,England,2976879,.0099999998,10250,46.733604,4.0700002,194.92981
7,West Midlands,West Midlands,England,3518149,.0099999998,7650,43.581417,4,172.72543
8,Yorkshire & Humber,Yorkshire & Humber,England,3408323,.0099999998,20895,45.889851,4.29,183.48245
9,North West,North West,England,4294065,.0099999998,9310,42.2747,3.99,174.61035
10,North,North,England,2321737,.0099999998,9222,40.915108,3.99,166.73836
11,Wales,Wales,Wales,2216742,.0099999998,7347,38.699127,3.99,147.97058
12,Scotland,Scotland,Scotland,3385786,.0099999998,7999,42.445091,4.3800001,168.26251
13,Northern Ireland,Northern Ireland,Northern Ireland,1518537,.0099999998,6995,44.438995,5,163.04796
